Batch ID,Job Order Number,Printing Date/Time,Printer Operator ID,Ink Type,Paper Type,No. of Sheets Used,No. of Cards Printed,No. of Half Cards,No. of Quarter Cards,Accepted Cards,Rejected Cards,Color Matching Data,Quality Control Result (Printing),Printing QC - Alignment,Printing QC - Color Accuracy,Printing QC - Material Integrity,Lamination Date/Time,Lamination Operator ID,Chip Type,Embedding Errors,Chip Serial Numbers,Quality Control Result (Embedding),Embedding QC - Chip Functionality,Embedding QC - Alignment,Network Data,Encryption Key,Laser Engraving Serial,ICCID,Personalization Operator ID,Quality Control Result (Personalization),Personalization QC - Data Accuracy,Personalization QC - Laser Engraving,Audit Trail Logs,PO_number,Printing_Year,Printing_Month,Processing Time (Days),Quality Control Result (Printing)_Binary,Quality Control Result (Embedding)_Binary,Quality Control Result (Personalization)_Binary,Total QC Passes
Batch_401,JO_00401,2022-07-14 19:07:00,Operator_26,Metallic Ink,PET,14.0,504.0,237.0,267.0,216.0,288.0,Match_Fair,Pass,Pass,Pass,Pass,2022-07-18 16:08:00,Operator_60,Type3,1.0,Chip_347327,Pass,Pass,Pass,UMTS,Key_4523,Serial_8438,ICCID_345315,Operator_131,Pass,Pass,Pass,Log_46906,PO-0021,2022,7,3,1.0,1,1.0,3.0
Batch_402,JO_00402,2022-07-15 06:48:00,Operator_35,Offset Ink,PET,36.0,1260.0,266.0,994.0,442.0,657.625,Match_Perfect,Pass,Fail,Pass,Pass,2022-07-23 23:55:00,Operator_97,Type2,4.0,Chip_996262,Pass,Pass,Pass,GSM,Key_1022,Serial_3521,ICCID_304390,Operator_138,Pass,Pass,Pass,Log_63193,PO-0022,2022,7,8,1.0,1,1.0,3.0
Batch_403,JO_00403,2022-07-15 18:29:00,Operator_25,Metallic Ink,PVC,37.0,1406.0,848.0,558.0,1113.0,127.0,Match_Good,Pass,Pass,Pass,Pass,2022-07-23 21:14:00,Operator_73,Type2,2.0,Chip_722797,Pass,Fail,Pass,UMTS,Key_4266,Serial_6280,ICCID_619707,Operator_134,Pass,Pass,Pass,Log_49352,PO-0023,2022,7,8,1.0,1,1.0,3.0
Batch_404,JO_00404,2022-07-16 06:10:00,Operator_24,UV Ink,Composite Materials,35.0,1050.0,573.0,477.0,475.0,575.0,Match_Good,Pass,Pass,Pass,Pass,2022-07-22 13:44:00,Operator_60,Type1,1.0,Chip_757165,Pass,Pass,Pass,GSM,Key_9171,Serial_7960,ICCID_779720,Operator_101,Pass,Pass,Pass,Log_96655,PO-0024,2022,7,6,1.0,1,1.0,3.0
Batch_405,JO_00405,2022-07-16 17:52:00,Operator_13,UV Ink,Composite Materials,36.0,936.0,246.0,690.0,357.0,579.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-07-22 15:56:00,Operator_52,Type3,2.0,Chip_419967,Pass,Pass,Pass,GSM,Key_8252,Serial_5962,ICCID_595187,Operator_109,Pass,Pass,Pass,Log_50507,PO-0025,2022,7,5,1.0,1,1.0,3.0
Batch_406,JO_00406,2022-07-17 05:33:00,Operator_7,Metallic Ink,PVC,30.0,960.0,406.0,554.0,945.0,15.0,Match_Good,Pass,Pass,Pass,Pass,2022-07-23 01:33:00,Operator_87,Type3,2.0,Chip_298728,Pass,Pass,Pass,GPRS,Key_1578,Serial_2005,ICCID_878694,Operator_136,Pass,Pass,Pass,Log_27788,PO-0026,2022,7,5,1.0,1,1.0,3.0
Batch_407,JO_00407,2022-07-17 17:14:00,Operator_36,Metallic Ink,PVC,10.0,380.0,365.0,15.0,180.0,200.0,Match_Fair,Pass,Pass,Pass,Pass,2022-07-20 04:22:00,Operator_90,Type2,4.0,Chip_584789,Pass,Pass,Pass,GPRS,Key_6418,Serial_3458,ICCID_939159,Operator_144,Pass,Pass,Pass,Log_37909,PO-0027,2022,7,2,1.0,1,1.0,3.0
Batch_408,JO_00408,2022-07-18 04:55:00,Operator_45,Metallic Ink,PET,37.0,1332.0,460.0,872.0,327.0,657.625,Match_Poor,Pass,Pass,Pass,Pass,2022-07-21 16:23:00,Operator_88,Type2,3.0,Chip_110821,Pass,Pass,Pass,GSM,Key_9071,Serial_1723,ICCID_300263,Operator_104,Pass,Pass,Pass,Log_47467,PO-0028,2022,7,3,1.0,1,1.0,3.0
Batch_409,JO_00409,2022-07-18 16:37:00,Operator_20,Offset Ink,PET,24.0,768.0,305.0,463.0,308.0,460.0,Match_Good,Pass,Pass,Pass,Pass,2022-07-25 08:55:00,Operator_88,Type3,2.0,Chip_744786,Pass,Pass,Pass,UMTS,Key_6490,Serial_2291,ICCID_736386,Operator_145,Pass,Pass,Pass,Log_11580,PO-0029,2022,7,6,1.0,1,1.0,3.0
Batch_410,JO_00410,2022-07-19 04:18:00,Operator_1,UV Ink,PVC,26.0,806.0,536.0,270.0,692.0,114.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-07-21 07:55:00,Operator_51,Type2,4.0,Chip_225646,Pass,Pass,Pass,GSM,Key_8777,Serial_7521,ICCID_979068,Operator_120,Pass,Pass,Pass,Log_77816,PO-0030,2022,7,2,1.0,1,1.0,3.0
Batch_411,JO_00411,2022-07-19 15:59:00,Operator_8,Metallic Ink,PVC,35.0,910.0,717.0,193.0,808.0,102.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-07-29 09:22:00,Operator_98,Type2,0.0,Chip_188605,Pass,Pass,Pass,UMTS,Key_6351,Serial_1761,ICCID_960462,Operator_145,Pass,Pass,Pass,Log_15107,PO-0031,2022,7,9,1.0,1,1.0,3.0
Batch_412,JO_00412,2022-07-20 03:40:00,Operator_46,Offset Ink,Composite Materials,29.0,580.0,559.0,21.0,328.0,252.0,Match_Good,Pass,Pass,Pass,Pass,2022-07-28 08:40:00,Operator_68,Type3,1.0,Chip_871485,Pass,Pass,Pass,GPRS,Key_8705,Serial_7588,ICCID_668078,Operator_117,Pass,Pass,Pass,Log_15340,PO-0032,2022,7,8,1.0,1,1.0,3.0
Batch_413,JO_00413,2022-07-20 15:22:00,Operator_16,UV Ink,PVC,34.0,680.0,417.0,263.0,448.0,232.0,Match_P,Pass,Pass,Pass,Pass,2022-07-25 13:42:00,Operator_85,Type2,4.0,Chip_835887,Pass,Pass,Pass,UMTS,Key_6279,Serial_6075,ICCID_689662,Operator_144,Pass,Pass,Pass,Log_96597,PO-0033,2022,7,4,1.0,1,1.0,3.0
Batch_414,JO_00414,2022-07-21 03:03:00,Operator_14,Offset Ink,PVC,22.0,858.0,383.0,475.0,832.0,26.0,Match_Poor,Pass,Pass,Pass,Pass,2022-07-28 22:55:00,Operator_57,Type1,3.0,Chip_718142,Pass,Pass,Pass,GSM,Key_5138,Serial_6334,ICCID_414571,Operator_110,Pass,Pass,Pass,Log_11280,PO-0034,2022,7,7,1.0,1,1.0,3.0
Batch_415,JO_00415,2022-07-21 14:44:00,Operator_12,UV Ink,Composite Materials,42.0,1386.0,239.0,1147.0,1113.0,78.0,Match_Poor,Pass,Pass,Pass,Pass,2022-07-25 10:25:00,Operator_94,Type2,4.0,Chip_340373,Pass,Pass,Pass,UMTS,Key_2135,Serial_9654,ICCID_356660,Operator_146,Pass,Pass,Pass,Log_77228,PO-0035,2022,7,3,1.0,1,1.0,3.0
Batch_416,JO_00416,2022-07-22 02:26:00,Operator_23,Offset Ink,PVC,34.0,1156.0,915.0,241.0,645.0,511.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-07-27 16:05:00,Operator_92,Type3,4.0,Chip_823723,Pass,Pass,Pass,UMTS,Key_1746,Serial_4419,ICCID_660175,Operator_143,Pass,Pass,Pass,Log_31105,PO-0036,2022,7,5,1.0,1,1.0,3.0
Batch_417,JO_00417,2022-07-22 14:07:00,Operator_15,UV Ink,PET,17.0,510.0,498.0,12.0,431.0,79.0,Match_Good,Pass,Pass,Pass,Pass,2022-07-25 02:08:00,Operator_72,Type1,0.0,Chip_533364,Pass,Pass,Pass,GSM,Key_8625,Serial_6511,ICCID_387183,Operator_140,Pass,Pass,Pass,Log_17928,PO-0037,2022,7,2,1.0,1,1.0,3.0
Batch_418,JO_00418,2022-07-23 01:48:00,Operator_28,UV Ink,PET,14.0,392.0,185.0,207.0,340.0,52.0,Match_Good,Pass,Pass,Pass,Pass,2022-07-31 10:11:00,Operator_75,Type2,1.0,Chip_158114,Pass,Pass,Pass,GPRS,Key_5574,Serial_5613,ICCID_705862,Operator_113,Pass,Pass,Pass,Log_34331,PO-0038,2022,7,8,1.0,1,1.0,3.0
Batch_419,JO_00419,2022-07-23 13:29:00,Operator_34,Offset Ink,Composite Materials,15.0,540.0,343.0,197.0,460.0,80.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-07-26 20:50:00,Operator_92,Type1,1.0,Chip_419554,Pass,Pass,Pass,GSM,Key_8727,Serial_5283,ICCID_829375,Operator_138,Pass,Pass,Pass,Log_35450,PO-0039,2022,7,3,1.0,1,1.0,3.0
Batch_420,JO_00420,2022-07-24 01:11:00,Operator_2,Metallic Ink,PVC,32.0,736.0,443.0,293.0,586.0,150.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-02 06:50:00,Operator_73,Type3,3.0,Chip_831989,Pass,Pass,Pass,GPRS,Key_3949,Serial_4248,ICCID_713381,Operator_144,Pass,Pass,Pass,Log_81237,PO-0040,2022,7,9,1.0,1,1.0,3.0
Batch_421,JO_00421,2022-07-24 12:52:00,Operator_32,UV Ink,PET,39.0,1410.0,693.0,828.0,973.0,548.0,Match_Poor,Pass,Pass,Pass,Pass,2022-07-27 12:44:00,Operator_59,Type1,1.0,Chip_812148,Pass,Pass,Pass,UMTS,Key_5336,Serial_4213,ICCID_928759,Operator_116,Pass,Pass,Pass,Log_71319,PO-0041,2022,7,2,1.0,1,1.0,3.0
Batch_422,JO_00422,2022-07-25 00:33:00,Operator_23,Metallic Ink,PET,23.0,874.0,388.0,486.0,537.0,337.0,Match_Good,Pass,Pass,Pass,Pass,2022-07-30 14:54:00,Operator_77,Type2,0.0,Chip_126994,Pass,Pass,Pass,GPRS,Key_8294,Serial_4670,ICCID_588849,Operator_139,Pass,Pass,Pass,Log_38095,PO-0042,2022,7,5,1.0,1,1.0,3.0
Batch_423,JO_00423,2022-07-25 12:14:00,Operator_22,Offset Ink,PET,32.0,832.0,682.0,150.0,382.0,450.0,Match_Poor,Pass,Pass,Pass,Pass,2022-07-29 02:54:00,Operator_61,Type2,3.0,Chip_927755,Pass,Pass,Pass,UMTS,Key_1632,Serial_2853,ICCID_229207,Operator_133,Pass,Pass,Pass,Log_34290,PO-0043,2022,7,3,1.0,1,1.0,3.0
Batch_424,JO_00424,2022-07-25 23:56:00,Operator_25,Metallic Ink,PET,20.0,400.0,312.0,88.0,279.0,121.0,Match_Fair,Pass,Pass,Pass,Pass,2022-08-01 19:46:00,Operator_77,Type3,0.0,Chip_694319,Pass,Pass,Pass,GPRS,Key_8093,Serial_5518,ICCID_956939,Operator_127,Pass,Pass,Pass,Log_34217,PO-0044,2022,7,6,1.0,1,1.0,3.0
Batch_425,JO_00425,2022-07-26 11:37:00,Operator_22,Metallic Ink,PVC,40.0,1120.0,280.0,840.0,460.0,657.625,Match_Poor,Pass,Pass,Pass,Pass,2022-08-04 09:45:00,Operator_90,Type1,0.0,Chip_840177,Pass,Pass,Pass,GSM,Key_8650,Serial_1914,ICCID_470121,Operator_137,Pass,Pass,Pass,Log_35344,PO-0045,2022,7,8,1.0,1,1.0,3.0
Batch_426,JO_00426,2022-07-26 23:18:00,Operator_22,Metallic Ink,PVC,15.0,480.0,446.0,34.0,436.0,44.0,Match_Good,Pass,Pass,Pass,Pass,2022-08-02 22:55:00,Operator_78,Type1,4.0,Chip_587187,Pass,Pass,Pass,UMTS,Key_8521,Serial_3711,ICCID_712060,Operator_148,Pass,Pass,Pass,Log_82346,PO-0046,2022,7,6,1.0,1,1.0,3.0
Batch_427,JO_00427,2022-07-27 10:59:00,Operator_49,Metallic Ink,PVC,20.0,420.0,298.0,122.0,273.0,147.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-04 15:09:00,Operator_68,Type3,4.0,Chip_468377,Pass,Pass,Pass,GSM,Key_5433,Serial_5980,ICCID_253096,Operator_116,Pass,Pass,Pass,Log_73983,PO-0047,2022,7,8,1.0,1,1.0,3.0
Batch_428,JO_00428,2022-07-27 22:41:00,Operator_42,Metallic Ink,PVC,22.0,462.0,262.0,200.0,458.0,4.0,Match_Poor,Pass,Pass,Fail,Pass,2022-08-06 16:41:00,Operator_86,Type3,4.0,Chip_641740,Pass,Pass,Pass,GSM,Key_9790,Serial_4819,ICCID_213906,Operator_115,Pass,Pass,Pass,Log_44462,PO-0048,2022,7,9,1.0,1,1.0,3.0
Batch_429,JO_00429,2022-07-28 10:22:00,Operator_6,UV Ink,PET,21.0,714.0,620.0,94.0,541.0,173.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-07-30 20:43:00,Operator_84,Type3,2.0,Chip_359980,Pass,Pass,Pass,GPRS,Key_7557,Serial_5343,ICCID_425658,Operator_116,Pass,Fail,Pass,Log_19065,PO-0049,2022,7,2,1.0,1,1.0,3.0
Batch_430,JO_00430,2022-07-28 22:03:00,Operator_15,UV Ink,Composite Materials,11.0,396.0,309.0,87.0,329.0,67.0,Match_Fair,Pass,Pass,Pass,Pass,2022-08-07 09:42:00,Operator_63,Type3,0.0,Chip_636414,Pass,Pass,Pass,GSM,Key_4202,Serial_5509,ICCID_144212,Operator_106,Pass,Pass,Pass,Log_21956,PO-0050,2022,7,9,1.0,1,1.0,3.0
Batch_431,JO_00431,2022-07-29 09:45:00,Operator_43,UV Ink,Composite Materials,44.0,1408.0,1093.0,315.0,1113.0,143.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-07-31 17:24:00,Operator_96,Type2,1.0,Chip_640509,Pass,Pass,Pass,GPRS,Key_8934,Serial_2164,ICCID_611553,Operator_129,Pass,Pass,Pass,Log_74627,PO-0051,2022,7,2,1.0,1,1.0,3.0
Batch_432,JO_00432,2022-07-29 21:26:00,Operator_37,Offset Ink,PET,45.0,1170.0,720.0,450.0,820.0,350.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-07 08:02:00,Operator_80,Type2,3.0,Chip_912318,Pass,Pass,Pass,GPRS,Key_8228,Serial_9530,ICCID_691593,Operator_140,Pass,Pass,Pass,Log_40767,PO-0052,2022,7,8,1.0,1,1.0,3.0
Batch_433,JO_00433,2022-07-30 09:07:00,Operator_33,Metallic Ink,PET,26.0,728.0,648.0,80.0,366.0,362.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-06 09:32:00,Operator_78,Type3,2.0,Chip_861160,Pass,Pass,Pass,UMTS,Key_9078,Serial_1491,ICCID_991907,Operator_117,Pass,Pass,Pass,Log_16793,PO-0053,2022,7,7,1.0,1,1.0,3.0
Batch_434,JO_00434,2022-07-30 20:48:00,Operator_8,UV Ink,Composite Materials,37.0,1147.0,485.0,662.0,759.0,388.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-08-07 18:19:00,Operator_72,Type3,4.0,Chip_565210,Pass,Pass,Pass,GSM,Key_8908,Serial_9229,ICCID_524393,Operator_140,Pass,Pass,Pass,Log_37803,PO-0054,2022,7,7,1.0,1,1.0,3.0
Batch_435,JO_00435,2022-07-31 08:30:00,Operator_44,Offset Ink,Composite Materials,37.0,814.0,522.0,292.0,721.0,93.0,Match_Fair,Pass,Pass,Pass,Pass,2022-08-09 19:26:00,Operator_74,Type1,2.0,Chip_885290,Pass,Pass,Pass,GSM,Key_2282,Serial_4222,ICCID_591544,Operator_107,Pass,Pass,Pass,Log_48155,PO-0055,2022,7,9,1.0,1,1.0,3.0
Batch_436,JO_00436,2022-07-31 20:11:00,Operator_44,UV Ink,PET,31.0,1054.0,937.0,117.0,483.0,571.0,Match_Good,Pass,Pass,Pass,Pass,2022-08-09 09:58:00,Operator_97,Type2,2.0,Chip_256976,Pass,Pass,Pass,GSM,Key_8836,Serial_6165,ICCID_393544,Operator_134,Pass,Pass,Pass,Log_65801,PO-0056,2022,7,8,1.0,1,1.0,3.0
Batch_437,JO_00437,2022-08-01 07:52:00,Operator_5,UV Ink,PET,47.0,1222.0,1076.0,146.0,818.0,404.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-08-10 00:14:00,Operator_80,Type1,0.0,Chip_746059,Pass,Pass,Pass,GSM,Key_2310,Serial_3558,ICCID_981101,Operator_145,Pass,Pass,Pass,Log_72734,PO-0057,2022,8,8,1.0,1,1.0,3.0
Batch_438,JO_00438,2022-08-01 19:33:00,Operator_39,Metallic Ink,PVC,16.0,320.0,279.0,41.0,229.0,91.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-09 11:14:00,Operator_95,Type1,0.0,Chip_399757,Pass,Pass,Pass,GPRS,Key_6318,Serial_7257,ICCID_781161,Operator_136,Pass,Pass,Pass,Log_31841,PO-0058,2022,8,7,1.0,1,1.0,3.0
Batch_439,JO_00439,2022-08-02 07:15:00,Operator_4,Offset Ink,PVC,24.0,792.0,198.0,594.0,313.0,479.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-08 00:50:00,Operator_88,Type2,1.0,Chip_560722,Pass,Pass,Pass,GPRS,Key_5662,Serial_3767,ICCID_688487,Operator_126,Pass,Pass,Pass,Log_88964,PO-0059,2022,8,5,1.0,1,1.0,3.0
Batch_440,JO_00440,2022-08-02 18:56:00,Operator_6,Metallic Ink,Composite Materials,41.0,1410.0,258.0,1300.0,1113.0,419.0,Match_Good,Pass,Pass,Pass,Pass,2022-08-07 04:28:00,Operator_70,Type3,3.0,Chip_712469,Pass,Pass,Pass,GSM,Key_7127,Serial_7095,ICCID_893221,Operator_126,Pass,Pass,Pass,Log_35980,PO-0060,2022,8,4,1.0,1,1.0,3.0
Batch_441,JO_00441,2022-08-03 06:37:00,Operator_45,Metallic Ink,PET,20.0,700.0,544.0,156.0,398.0,302.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-10 08:29:00,Operator_56,Type2,3.0,Chip_927152,Pass,Pass,Fail,GPRS,Key_3275,Serial_7158,ICCID_727604,Operator_111,Pass,Pass,Pass,Log_86989,PO-0021,2022,8,7,1.0,1,1.0,3.0
Batch_442,JO_00442,2022-08-03 18:18:00,Operator_32,UV Ink,Composite Materials,33.0,957.0,566.0,391.0,600.0,357.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-13 02:38:00,Operator_83,Type1,4.0,Chip_997149,Pass,Pass,Pass,GPRS,Key_9106,Serial_8185,ICCID_319172,Operator_125,Pass,Pass,Pass,Log_86310,PO-0022,2022,8,9,1.0,1,1.0,3.0
Batch_443,JO_00443,2022-08-04 06:00:00,Operator_30,Metallic Ink,PVC,12.0,314.0,220.0,20.0,208.0,32.0,Match_Good,Pass,Pass,Pass,Pass,2022-08-10 08:45:00,Operator_97,Type2,1.0,Chip_655993,Pass,Pass,Pass,GSM,Key_9039,Serial_4268,ICCID_594674,Operator_136,Pass,Pass,Pass,Log_27289,PO-0023,2022,8,6,1.0,1,1.0,3.0
Batch_444,JO_00444,2022-08-04 17:41:00,Operator_47,Offset Ink,PVC,39.0,936.0,533.0,403.0,367.0,569.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-08 00:02:00,Operator_88,Type3,3.0,Chip_104227,Pass,Pass,Pass,GPRS,Key_7096,Serial_8453,ICCID_471508,Operator_142,Pass,Pass,Pass,Log_64138,PO-0024,2022,8,3,1.0,1,1.0,3.0
Batch_445,JO_00445,2022-08-05 05:22:00,Operator_35,Metallic Ink,Composite Materials,15.0,330.0,316.0,14.0,308.0,22.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-11 16:33:00,Operator_65,Type2,2.0,Chip_979776,Pass,Pass,Pass,GSM,Key_9055,Serial_7302,ICCID_846672,Operator_148,Pass,Pass,Pass,Log_94880,PO-0025,2022,8,6,1.0,1,1.0,3.0
Batch_446,JO_00446,2022-08-05 17:04:00,Operator_40,Metallic Ink,PVC,11.0,396.0,227.0,169.0,227.0,169.0,Match_Fair,Pass,Pass,Pass,Pass,2022-08-08 09:32:00,Operator_65,Type3,2.0,Chip_380253,Pass,Pass,Pass,UMTS,Key_6681,Serial_4736,ICCID_107379,Operator_102,Pass,Pass,Pass,Log_14016,PO-0026,2022,8,2,1.0,1,1.0,3.0
Batch_447,JO_00447,2022-08-06 04:45:00,Operator_16,Metallic Ink,PET,23.0,851.0,717.0,134.0,268.0,583.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-08-14 00:50:00,Operator_82,Type3,3.0,Chip_634096,Pass,Pass,Pass,GPRS,Key_7835,Serial_2386,ICCID_276766,Operator_141,Pass,Pass,Pass,Log_62528,PO-0027,2022,8,7,1.0,1,1.0,3.0
Batch_448,JO_00448,2022-08-06 16:26:00,Operator_13,UV Ink,Composite Materials,27.0,1026.0,965.0,61.0,341.0,657.625,Match_Fair,Pass,Pass,Pss,Pass,2022-08-09 01:17:00,Operator_64,Type1,2.0,Chip_437769,Pass,Pass,Pass,UMTS,Key_6459,Serial_1862,ICCID_812329,Operator_128,Pass,Pass,Pass,Log_67538,PO-0028,2022,8,2,1.0,1,1.0,3.0
Batch_449,JO_00449,2022-08-07 04:07:00,Operator_42,Offset Ink,PET,40.0,1410.0,1068.0,412.0,1101.0,379.0,Match_Fair,Pass,Pass,Pass,Pass,2022-08-11 04:44:00,Operator_92,Type1,2.0,Chip_509287,Pass,Pass,Pass,UMTS,Key_2196,Serial_3038,ICCID_684913,Operator_101,Pass,Pass,Pass,Log_45081,PO-0029,2022,8,4,1.0,1,1.0,3.0
Batch_450,JO_00450,2022-08-07 15:49:00,Operator_30,UV Ink,PET,22.0,770.0,675.0,95.0,215.0,555.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-14 10:34:00,Operator_58,Type3,4.0,Chip_129017,Pass,Pass,Pass,UMTS,Key_8392,Serial_3257,ICCID_122419,Operator_106,Pass,Pass,Pass,Log_79476,PO-0030,2022,8,6,1.0,1,1.0,3.0
Batch_451,JO_00451,2022-08-08 03:30:00,Operator_19,UV Ink,PVC,35.0,735.0,655.0,80.0,406.0,329.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-08-12 15:49:00,Operator_86,Type3,2.0,Chip_880202,Pass,Pass,Pass,GPRS,Key_9803,Serial_3543,ICCID_936527,Operator_140,Pass,Pass,Pass,Log_59724,PO-0031,2022,8,4,1.0,1,1.0,3.0
Batch_452,JO_00452,2022-08-08 15:11:00,Operator_17,UV Ink,PET,21.0,714.0,270.0,444.0,330.0,384.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-08-17 16:47:00,Operator_72,Type1,3.0,Chip_634611,Pass,Pass,Pass,GSM,Key_9815,Serial_1928,ICCID_846062,Operator_136,Pass,Pass,Pass,Log_58219,PO-0032,2022,8,9,1.0,1,1.0,3.0
Batch_453,JO_00453,2022-08-09 02:52:00,Operator_19,UV Ink,Composite Materials,27.0,864.0,276.0,588.0,772.0,92.0,Match_Poor,Pass,Fail,Pass,Pass,2022-08-18 09:02:00,Operator_88,Type3,0.0,Chip_548553,Pass,Pass,Pass,GSM,Key_7162,Serial_6100,ICCID_122623,Operator_101,Pass,Pass,Pass,Log_90478,PO-0033,2022,8,9,1.0,1,1.0,3.0
Batch_454,JO_00454,2022-08-09 14:34:00,Operator_28,UV Ink,PET,18.0,576.0,514.0,62.0,226.0,350.0,Match_Fair,Pass,Pass,Pass,Pass,2022-08-18 20:04:00,Operator_70,Type2,2.0,Chip_446546,Pass,Pass,Pass,UMTS,Key_6764,Serial_3178,ICCID_600874,Operator_149,Pass,Pass,Fail,Log_75744,PO-0034,2022,8,9,1.0,1,1.0,3.0
Batch_455,JO_00455,2022-08-10 02:15:00,Operator_26,Offset Ink,PET,30.0,1050.0,460.0,590.0,895.0,155.0,Match_Fair,Pass,Pass,Pass,Pass,2022-08-16 15:39:00,Operator_74,Type3,3.0,Chip_334661,Pass,Pass,Pass,UMTS,Key_4613,Serial_9627,ICCID_202620,Operator_115,Pass,Pass,Pass,Log_50866,PO-0035,2022,8,6,1.0,1,1.0,3.0
Batch_456,JO_00456,2022-08-10 13:56:00,Operator_37,Metallic Ink,PET,49.0,1323.0,786.0,537.0,1113.0,204.0,Match_Fair,Pass,Pass,Pass,Pass,2022-08-19 17:37:00,Operator_71,Type3,2.0,Chip_707658,Pass,Pass,Pass,UMTS,Key_4904,Serial_8455,ICCID_321671,Operator_101,Pass,Pass,Pass,Log_42717,PO-0036,2022,8,9,1.0,1,1.0,3.0
Batch_457,JO_00457,2022-08-11 01:37:00,Operator_26,UV Ink,PET,33.0,990.0,902.0,88.0,839.0,151.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-08-15 04:37:00,Operator_78,Type1,1.0,Chip_466639,Pass,Pass,Pass,UMTS,Key_2829,Serial_3212,ICCID_624582,Operator_119,Pass,Pass,Pass,Log_95476,PO-0037,2022,8,4,1.0,1,1.0,3.0
Batch_458,JO_00458,2022-08-11 13:19:00,Operator_23,UV Ink,PET,43.0,1161.0,757.0,404.0,410.0,657.625,Match_Poor,Pass,Pass,Pass,Pass,2022-08-20 08:39:00,Operator_99,Type1,4.0,Chip_678601,Pass,Pass,Pass,GPRS,Key_6258,Serial_9360,ICCID_747552,Operator_125,Pass,Pass,Pass,Log_49904,PO-0038,2022,8,8,1.0,1,1.0,3.0
Batch_459,JO_00459,2022-08-12 01:00:00,Operator_9,Offset Ink,PVC,17.0,493.0,396.0,97.0,206.0,287.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-08-15 19:04:00,Operator_73,Type1,0.0,Chip_448344,Pass,Pass,Pass,GPRS,Key_8452,Serial_1419,ICCID_186591,Operator_114,Pass,Pass,Pass,Log_32155,PO-0039,2022,8,3,1.0,1,1.0,3.0
Batch_460,JO_00460,2022-08-12 12:41:00,Operator_12,Offset Ink,Composite Materials,42.0,840.0,765.0,75.0,344.0,496.0,Match_Fair,Pass,Pass,Pass,Pass,2022-08-15 00:10:00,Operator_74,Type2,2.0,Chip_990677,Pass,Pass,Pass,UMTS,Key_2805,Serial_4976,ICCID_919758,Operator_122,Pass,Pass,Fail,Log_94293,PO-0040,2022,8,2,1.0,1,1.0,3.0
Batch_461,JO_00461,2022-08-13 00:23:00,Operator_1,Metallic Ink,PVC,32.0,992.0,757.0,235.0,903.0,89.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-08-22 03:54:00,Operator_89,Type3,3.0,Chip_386560,Pass,Pass,Pass,GPRS,Key_6849,Serial_6904,ICCID_966138,Operator_123,Pass,Pass,Pass,Log_86460,PO-0041,2022,8,9,1.0,1,1.0,3.0
Batch_462,JO_00462,2022-08-13 12:04:00,Operator_1,Offset Ink,Composite Materials,22.0,616.0,418.0,198.0,487.0,129.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-08-16 06:24:00,Operator_94,Type3,0.0,Chip_117639,Pass,Pass,Pass,UMTS,Key_1481,Serial_8177,ICCID_480898,Operator_107,Pass,Pass,Pass,Log_87438,PO-0042,2022,8,2,1.0,1,1.0,3.0
Batch_463,JO_00463,2022-08-13 23:45:00,Operator_47,Metallic Ink,Composite Materials,23.0,552.0,424.0,128.0,254.0,298.0,Match_Poor,Pass,Pass,Pass,Pass,2022-08-21 18:15:00,Operator_73,Type1,2.0,Chip_559152,Pass,Pass,Pass,GSM,Key_7729,Serial_5841,ICCID_834343,Operator_134,Pass,Pass,Pass,Log_88961,PO-0043,2022,8,7,1.0,1,1.0,3.0
